world,level,zone_name,zone_description,zone_entity_names
airport,0,destination,Airport Destination Area,waiting_chair_01;waiting_chair_02;waiting_chair_03;waiting_chair_04;waiting_chair_05;waiting_chair_06;waiting_chair_07;waiting_chair_08;waiting_chair_09;waiting_chair_10;waiting_chair_11;waiting_chair_12;waiting_chair_13;waiting_chair_14;waiting_chair_15;waiting_chair_16;waiting_chair_17;waiting_chair_18;waiting_chair_19;waiting_chair_20;waiting_chair_21;waiting_chair_22;waiting_chair_23;waiting_chair_24;waiting_chair_25;waiting_chair_26;waiting_chair_27;waiting_chair_28;waiting_chair_29;waiting_chair_30;Checkin_Desk_01;Checkin_Desk_02;Checkin_Desk_03;Checkin_chair_01;Checkin_chair_02;Checkin_chair_03;Reception_desk_corner_01;Reception_desk_corner_02;Reception_desk_straight_01;Reception_desk_straight_02;Reception_01;personel_01;personel_02;personel_03;personel_04;personel_05;personel_06;personel_07;personel_08;personel_09;personel_10;personel_11;personel_12;personel_13;personel_14;personel_15;personel_16;personel_17;personel_18;personel_19;personel_20;personel_21;personel_22;personel_23;personel_24;personel_25;personel_26;personel_27;personel_28;personel_29;personel_30;plant_01;plant_02;plant_03;plant_04;plant_05;plant_06;plant_07;plant_08;plant_09;plant_10;drink_machine_01;drink_machine_02
demo,0,demo_zone,Demo Zone,""
hospital_1,0,central_hallway,Main Central Hallway,""
hospital_1,0,reception,Reception and Check-in,reception_counter_1;reception_waiting_sofa_1;reception_waiting_sofa_2;reception_waiting_sofa_3;reception_waiting_chair_1;reception_display_board_1;reception_water_dispenser_1;reception_trashcan_1
hospital_1,0,exam_room_1,Examination Room 1,exam_exam_table_1;exam_medical_stool_1;exam_instrument_table_1;exam_vital_signal_station_1;exam_exam_table_2;exam_medical_stool_2;exam_instrument_table_2;exam_vital_signal_station_2;exam_SM_MedicalCabinet_01a_1;exam_SM_MedicalCabinet_01a_2;exam_SM_MedicalCabinet_01a_3;exam_supply_cart_1;exam_supply_cart_2;exam_scale_1;exam_trashcan_1
hospital_1,0,patient_ward,Patient Ward,ward_bed_1;ward_bedside_table_1;ward_iv_stand_1;ward_vital_signal_1;ward_privacy_curtain_1;ward_armchair_1;ward_biohazard_container_1;ward_bed_2;ward_bedside_table_2;ward_iv_stand_2;ward_vital_signal_2;ward_privacy_curtain_2;ward_armchair_2;ward_biohazard_container_2;ward_SM_MedicalCabinet_01a_1;ward_SM_MedicalCabinet_01a_2;ward_supply_cart_1;ward_supply_cart_2;ward_gurney_1;ward_wheelchair_1;ward_wheelchair_2;ward_trashcan_1
hospital_1,0,pharmacy,Pharmacy,pharmacy_desk_1;pharmacy_chair_1;pharmacy_shelf_1;pharmacy_shelf_2;pharmacy_shelf_3;pharmacy_shelf_4;pharmacy_refrigerated_unit_1;pharmacy_SM_MedicalCabinet_01a_1;pharmacy_SM_MedicalCabinet_01a_2;pharmacy_med_shelf_1;pharmacy_med_shelf_2;pharmacy_supply_cart_1;pharmacy_supply_cart_2;pharmacy_biohazard_container_1;pharmacy_trashcan_1
hospital_1,0,nurse_resting_room,Nurse Resting Room,nurse_resting_bed_1;nurse_resting_bed_2;nurse_resting_desk_1;nurse_resting_desk_chair_1;nurse_resting_computer_1;nurse_resting_desk_2;nurse_resting_desk_chair_2;nurse_resting_computer_2;nurse_resting_chair_1;nurse_resting_chair_2;nurse_resting_chair_3;nurse_resting_sidetable_1;nurse_resting_sidetable_2;nurse_resting_sidetable_3;nurse_resting_cabinet_1;nurse_resting_cabinet_2;nurse_resting_cabinet_3;nurse_resting_cabinet_4
hospital_1,0,waiting_area,Main Waiting Area,waiting_sofa_3;waiting_sofa_4;waiting_chair_8;waiting_chair_9;waiting_chair_10;waiting_chair_11;waiting_bench_3;waiting_bench_4;waiting_side_table_1;waiting_side_table_2;waiting_side_table_3;waiting_side_table_4;waiting_trashcan_2;waiting_mop_set_1;waiting_mop_set_2
hospital_1,0,sub_hallway,Sub-Hallway,""
hospital_1,0,operating_room,Operating Room,or_operating_table_1;or_surgical_table_1;or_anesthesia_machine_1;or_instrument_table_1;or_surgical_tray_1;or_vital_monitor_1;or_defibrillator_1;or_ventilator_1;or_SM_MedicalCabinet_01a_1;or_supply_cabinet_1;or_biohazard_container_1;or_trashcan_1
hospital_1,0,laboratory,Laboratory,lab_bench_1;lab_bench_2;lab_microscope_1;lab_microscope_2;lab_stool_1;lab_stool_2;lab_stool_3;lab_SM_MedicalCabinet_01a_1;lab_refrigerated_unit_1;lab_shelf_1;lab_shelf_2;lab_shelf_set_1;lab_shelf_set_2;lab_biohazard_container_1;lab_biohazard_container_2;lab_autoclave_1;lab_trashcan_1;lab_trashcan_2
hospital_1,0,wc_pharmacy,WC Pharmacy,wc_pharmacy_washbasin_1;wc_pharmacy_washbasin_2;wc_pharmacy_washbasin_3;wc_pharmacy_washbasin_4;wc_pharmacy_washbasin_5;wc_pharmacy_washbasin_6;wc_pharmacy_toilet_1;wc_pharmacy_toilet_paper_1;wc_pharmacy_toilet_2;wc_pharmacy_toilet_paper_2;wc_pharmacy_toilet_3;wc_pharmacy_toilet_paper_3
hospital_1,0,wc_waiting,WC Waiting,wc_waiting_washbasin_1;wc_waiting_washbasin_2;wc_waiting_washbasin_3;wc_waiting_toilet_1;wc_waiting_toilet_paper_1;wc_waiting_toilet_2;wc_waiting_toilet_paper_2;wc_waiting_toilet_3;wc_waiting_toilet_paper_3
hospital_1,0,doctors_resting_room,Doctor Resting Room,doctors_resting_room_bed_1;doctors_resting_room_desk_1;doctors_resting_room_desk_chair_1;doctors_resting_room_sidetable_1;doctors_resting_room_cabinet_1;doctors_resting_room_computer_1;doctors_resting_room_chair_1
hospital_2,0,central_hallway,Main Central Hallway,""
hospital_2,0,reception,Reception and Check-in,reception_counter_1;reception_waiting_sofa_1;reception_waiting_sofa_2;reception_waiting_sofa_3;reception_waiting_chair_1;reception_display_board_1;reception_water_dispenser_1;reception_trashcan_1
hospital_2,0,exam_room_1,Examination Room 1,exam_exam_table_1;exam_medical_stool_1;exam_instrument_table_1;exam_vital_signal_station_1;exam_exam_table_2;exam_medical_stool_2;exam_instrument_table_2;exam_vital_signal_station_2;exam_SM_MedicalCabinet_01a_1;exam_SM_MedicalCabinet_01a_2;exam_SM_MedicalCabinet_01a_3;exam_supply_cart_1;exam_supply_cart_2;exam_scale_1;exam_trashcan_1
hospital_2,0,patient_ward,Patient Ward,ward_bed_1;ward_bedside_table_1;ward_iv_stand_1;ward_vital_signal_1;ward_privacy_curtain_1;ward_armchair_1;ward_biohazard_container_1;ward_bed_2;ward_bedside_table_2;ward_iv_stand_2;ward_vital_signal_2;ward_privacy_curtain_2;ward_armchair_2;ward_biohazard_container_2;ward_SM_MedicalCabinet_01a_1;ward_SM_MedicalCabinet_01a_2;ward_supply_cart_1;ward_supply_cart_2;ward_gurney_1;ward_wheelchair_1;ward_wheelchair_2;ward_trashcan_1
hospital_2,0,pharmacy,Pharmacy,pharmacy_desk_1;pharmacy_chair_1;pharmacy_shelf_1;pharmacy_shelf_2;pharmacy_shelf_3;pharmacy_shelf_4;pharmacy_refrigerated_unit_1;pharmacy_SM_MedicalCabinet_01a_1;pharmacy_SM_MedicalCabinet_01a_2;pharmacy_med_shelf_1;pharmacy_med_shelf_2;pharmacy_supply_cart_1;pharmacy_supply_cart_2;pharmacy_biohazard_container_1;pharmacy_trashcan_1
hospital_2,0,nurse_resting_room,Nurse Resting Room,nurse_resting_bed_1;nurse_resting_bed_2;nurse_resting_desk_1;nurse_resting_desk_chair_1;nurse_resting_computer_1;nurse_resting_desk_2;nurse_resting_desk_chair_2;nurse_resting_computer_2;nurse_resting_chair_1;nurse_resting_chair_2;nurse_resting_chair_3;nurse_resting_sidetable_1;nurse_resting_sidetable_2;nurse_resting_sidetable_3;nurse_resting_cabinet_1;nurse_resting_cabinet_2;nurse_resting_cabinet_3;nurse_resting_cabinet_4
hospital_2,0,waiting_area,Main Waiting Area,waiting_sofa_3;waiting_sofa_4;waiting_chair_8;waiting_chair_9;waiting_chair_10;waiting_chair_11;waiting_bench_3;waiting_bench_4;waiting_side_table_1;waiting_side_table_2;waiting_side_table_3;waiting_side_table_4;waiting_trashcan_2;waiting_mop_set_1;waiting_mop_set_2
hospital_2,0,sub_hallway,Sub-Hallway,""
hospital_2,0,operating_room,Operating Room,or_operating_table_1;or_surgical_table_1;or_anesthesia_machine_1;or_instrument_table_1;or_surgical_tray_1;or_vital_monitor_1;or_defibrillator_1;or_ventilator_1;or_SM_MedicalCabinet_01a_1;or_supply_cabinet_1;or_biohazard_container_1;or_trashcan_1
hospital_2,0,laboratory,Laboratory,lab_bench_1;lab_bench_2;lab_microscope_1;lab_microscope_2;lab_stool_1;lab_stool_2;lab_stool_3;lab_SM_MedicalCabinet_01a_1;lab_refrigerated_unit_1;lab_shelf_1;lab_shelf_2;lab_shelf_set_1;lab_shelf_set_2;lab_biohazard_container_1;lab_biohazard_container_2;lab_autoclave_1;lab_trashcan_1;lab_trashcan_2
hospital_2,0,wc_pharmacy,WC Pharmacy,wc_pharmacy_washbasin_1;wc_pharmacy_washbasin_2;wc_pharmacy_washbasin_3;wc_pharmacy_washbasin_4;wc_pharmacy_washbasin_5;wc_pharmacy_washbasin_6;wc_pharmacy_toilet_1;wc_pharmacy_toilet_paper_1;wc_pharmacy_toilet_2;wc_pharmacy_toilet_paper_2;wc_pharmacy_toilet_3;wc_pharmacy_toilet_paper_3
hospital_2,0,wc_waiting,WC Waiting,wc_waiting_washbasin_1;wc_waiting_washbasin_2;wc_waiting_washbasin_3;wc_waiting_toilet_1;wc_waiting_toilet_paper_1;wc_waiting_toilet_2;wc_waiting_toilet_paper_2;wc_waiting_toilet_3;wc_waiting_toilet_paper_3
hospital_2,0,doctors_resting_room,Doctor Resting Room,doctors_resting_room_bed_1;doctors_resting_room_desk_1;doctors_resting_room_desk_chair_1;doctors_resting_room_sidetable_1;doctors_resting_room_cabinet_1;doctors_resting_room_computer_1;doctors_resting_room_chair_1
hospital_2,1,central_hallway_left,Main Central Hallway,""
hospital_2,1,reception_left,Reception and Check-in,reception_counter_1_left;reception_waiting_sofa_1_left;reception_waiting_sofa_2_left;reception_waiting_sofa_3_left;reception_waiting_chair_1_left;reception_display_board_1_left;reception_water_dispenser_1_left;reception_trashcan_1_left
hospital_2,1,exam_room_1_left,Examination Room 1,exam_exam_table_1_left;exam_medical_stool_1_left;exam_instrument_table_1_left;exam_vital_signal_station_1_left;exam_exam_table_2_left;exam_medical_stool_2_left;exam_instrument_table_2_left;exam_vital_signal_station_2_left;exam_SM_MedicalCabinet_01a_1_left;exam_SM_MedicalCabinet_01a_2_left;exam_SM_MedicalCabinet_01a_3_left;exam_supply_cart_1_left;exam_supply_cart_2_left;exam_scale_1_left;exam_trashcan_1_left
hospital_2,1,patient_ward_left,Patient Ward,ward_bed_1_left;ward_bedside_table_1_left;ward_iv_stand_1_left;ward_vital_signal_1_left;ward_privacy_curtain_1_left;ward_armchair_1_left;ward_biohazard_container_1_left;ward_bed_2_left;ward_bedside_table_2_left;ward_iv_stand_2_left;ward_vital_signal_2_left;ward_privacy_curtain_2_left;ward_armchair_2_left;ward_biohazard_container_2_left;ward_SM_MedicalCabinet_01a_1_left;ward_SM_MedicalCabinet_01a_2_left;ward_supply_cart_1_left;ward_supply_cart_2_left;ward_gurney_1_left;ward_wheelchair_1_left;ward_wheelchair_2_left;ward_trashcan_1_left
hospital_2,1,pharmacy_left,Pharmacy,pharmacy_desk_1_left;pharmacy_chair_1_left;pharmacy_shelf_1_left;pharmacy_shelf_2_left;pharmacy_shelf_3_left;pharmacy_shelf_4_left;pharmacy_refrigerated_unit_1_left;pharmacy_SM_MedicalCabinet_01a_1_left;pharmacy_SM_MedicalCabinet_01a_2_left;pharmacy_med_shelf_1_left;pharmacy_med_shelf_2_left;pharmacy_supply_cart_1_left;pharmacy_supply_cart_2_left;pharmacy_biohazard_container_1_left;pharmacy_trashcan_1_left
