world,level,zone_name,zone_description,zone_entity_names
airport,0,destination,Airport Destination Area,waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;waiting chair;Checkin Desk;Checkin Desk;Checkin Desk;Checkin chair;Checkin chair;Checkin chair;Reception desk corner;Reception desk corner;Reception desk straight;Reception desk straight;Reception;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;personel;plant;plant;plant;plant;plant;plant;plant;plant;plant;plant;drink machine;drink machine
demo,0,demo_zone,Demo Zone,
hospital_1,0,central_hallway,Main Central Hallway,
hospital_1,0,reception,Reception and Check-in,reception counter;reception waiting sofa;reception waiting sofa;reception waiting sofa;reception waiting chair;reception display board;reception water dispenser;reception trashcan
hospital_1,0,exam_room_1,Examination Room 1,exam exam table;exam medical stool;exam instrument table;exam vital signal station;exam exam table;exam medical stool;exam instrument table;exam vital signal station;exam SM Medical Cabinet a;exam SM Medical Cabinet a;exam SM Medical Cabinet a;exam supply cart;exam supply cart;exam scale;exam trashcan
hospital_1,0,patient_ward,Patient Ward,ward bed;ward bedside table;ward iv stand;ward vital signal;ward privacy curtain;ward armchair;ward biohazard container;ward bed;ward bedside table;ward iv stand;ward vital signal;ward privacy curtain;ward armchair;ward biohazard container;ward SM Medical Cabinet a;ward SM Medical Cabinet a;ward supply cart;ward supply cart;ward gurney;ward wheelchair;ward wheelchair;ward trashcan
hospital_1,0,pharmacy,Pharmacy,pharmacy desk;pharmacy chair;pharmacy shelf;pharmacy shelf;pharmacy shelf;pharmacy shelf;pharmacy refrigerated unit;pharmacy SM Medical Cabinet a;pharmacy SM Medical Cabinet a;pharmacy med shelf;pharmacy med shelf;pharmacy supply cart;pharmacy supply cart;pharmacy biohazard container;pharmacy trashcan
hospital_1,0,nurse_resting_room,Nurse Resting Room,nurse resting bed;nurse resting bed;nurse resting desk;nurse resting desk chair;nurse resting computer;nurse resting desk;nurse resting desk chair;nurse resting computer;nurse resting chair;nurse resting chair;nurse resting chair;nurse resting sidetable;nurse resting sidetable;nurse resting sidetable;nurse resting cabinet;nurse resting cabinet;nurse resting cabinet;nurse resting cabinet
hospital_1,0,waiting_area,Main Waiting Area,waiting sofa;waiting sofa;waiting chair;waiting chair;waiting chair;waiting chair;waiting bench;waiting bench;waiting side table;waiting side table;waiting side table;waiting side table;waiting trashcan;waiting mop set;waiting mop set
hospital_1,0,sub_hallway,Sub-Hallway,
hospital_1,0,operating_room,Operating Room,or operating table;or surgical table;or anesthesia machine;or instrument table;or surgical tray;or vital monitor;or defibrillator;or ventilator;or SM Medical Cabinet a;or supply cabinet;or biohazard container;or trashcan
hospital_1,0,laboratory,Laboratory,lab bench;lab bench;lab microscope;lab microscope;lab stool;lab stool;lab stool;lab SM Medical Cabinet a;lab refrigerated unit;lab shelf;lab shelf;lab shelf set;lab shelf set;lab biohazard container;lab biohazard container;lab autoclave;lab trashcan;lab trashcan
hospital_1,0,wc_pharmacy,WC Pharmacy,wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy washbasin;wc pharmacy toilet;wc pharmacy toilet paper;wc pharmacy toilet;wc pharmacy toilet paper;wc pharmacy toilet;wc pharmacy toilet paper
hospital_1,0,wc_waiting,WC Waiting,wc waiting washbasin;wc waiting washbasin;wc waiting washbasin;wc waiting toilet;wc waiting toilet paper;wc waiting toilet;wc waiting toilet paper;wc waiting toilet;wc waiting toilet paper
hospital_1,0,doctors_resting_room,Doctor Resting Room,doctors resting room bed;doctors resting room desk;doctors resting room desk chair;doctors resting room sidetable;doctors resting room cabinet;doctors resting room computer;doctors resting room chair
hospital_2,0,central_hallway,Main Central Hallway,
hospital_2,0,reception,Reception and Check-in,reception counter;reception waiting sofa;reception waiting sofa;reception waiting sofa;reception waiting chair;reception display board;reception water dispenser;reception trashcan
hospital_2,0,exam_room_1,Examination Room 1,exam exam table;exam medical stool;exam instrument table;exam vital signal station;exam exam table;exam medical stool;exam instrument table;exam vital signal station;exam SM Medical Cabinet a;exam SM Medical Cabinet a;exam SM Medical Cabinet a;exam supply cart;exam supply cart;exam scale;exam trashcan
